-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2022 through 01/01/2023 
Location: Latitude  32.87   Longitude 13.15 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 17.47 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,T2M,WS50M,ALLSKY_SFC_SW_DWN
2022,1,1,0,14.92,3.58,0.0
2022,1,1,1,14.87,3.34,0.0
2022,1,1,2,14.8,3.23,0.0
2022,1,1,3,14.81,3.23,0.0
2022,1,1,4,14.77,3.39,0.0
2022,1,1,5,14.69,3.71,0.0
2022,1,1,6,14.6,4.09,0.0
2022,1,1,7,14.71,4.58,36.92
2022,1,1,8,15.58,4.99,190.04
2022,1,1,9,15.97,5.38,391.61
2022,1,1,10,16.3,5.79,499.07
2022,1,1,11,16.55,6.17,584.84
2022,1,1,12,16.66,6.45,591.77
2022,1,1,13,16.67,6.58,552.48
2022,1,1,14,16.55,6.66,437.28
2022,1,1,15,16.3,6.65,265.63
2022,1,1,16,15.89,6.41,83.17
2022,1,1,17,15.34,6.4,0.0
2022,1,1,18,15.33,6.53,0.0
2022,1,1,19,15.22,6.66,0.0
2022,1,1,20,15.15,6.74,0.0
2022,1,1,21,15.12,6.75,0.0
2022,1,1,22,15.12,6.83,0.0
2022,1,1,23,15.12,6.94,0.0
2022,1,2,0,15.08,7.1,0.0
2022,1,2,1,15.16,7.33,0.0
2022,1,2,2,15.19,7.53,0.0
2022,1,2,3,15.13,7.77,0.0
2022,1,2,4,15.11,7.99,0.0
2022,1,2,5,15.11,8.09,0.0
2022,1,2,6,15.08,8.07,0.0
